Brand,Category,
Bloomingdale's Dubai,Shopping,
Harvey Nichols Dubai,Shopping,
Robinsons Dubai,Shopping,
Le Marche,Shopping,
Huda Beauty,Shopping,
Sephora UAE,Shopping,
Zara Europe,Shopping,
H&M Europe,Shopping,
Mango Europe,Shopping,
Topshop,Shopping,
Marks & Spencer,Shopping,
Primark,Shopping,
Bershka Europe,Shopping,
Stradivarius Europe,Shopping,
Massimo Dutti Europe,Shopping,
C&A Europe,Shopping,
Decathlon Europe,Shopping,
Foot Locker Europe,Shopping,
Nike Europe,Shopping,
Adidas Europe,Shopping,
Puma Europe,Shopping,
Reebok Europe,Shopping,
Louis Vuitton Europe,Shopping,
Gucci Europe,Shopping,
Prada Europe,Shopping,
Chanel Europe,Shopping,
H&M Home,Shopping,
Zalando,Shopping,
Woolworths South Africa,Shopping,
Mr Price,Shopping,
Edgars South Africa,Shopping,
Pick n Pay Clothing,Shopping,
Game Stores,Shopping,
Truworths,Shopping,
Superbalist,Shopping,
Jumia Fashion,Shopping,
Zara Africa,Shopping,
H&M Africa,Shopping,
Adidas Africa,Shopping,
Nike Africa,Shopping,
PUMA Africa,Shopping,
Levi’s Africa,Shopping,
Mr Price Sport,Shopping,
Decathlon Africa,Shopping,
African fashion labels,Shopping,
McDonald's India,Food / Dining,
KFC India,Food / Dining,
Domino's Pizza India,Food / Dining,
Pizza Hut India,Food / Dining,
Burger King India,Food / Dining,
Starbucks India,Food / Dining,
Cafe Coffee Day (CCD),Food / Dining,
Barista India,Food / Dining,
Haldiram's,Food / Dining,
Bikanervala,Food / Dining,
Rajdhani Thali,Food / Dining,
Saravana Bhavan,Food / Dining,
Sagar Ratna,Food / Dining,
Moti Mahal,Food / Dining,
Paradise Biryani,Food / Dining,
Oh! Calcutta,Food / Dining,
Mainland China,Food / Dining,
Theobroma,Food / Dining,
Wow! Momo,Food / Dining,
Faasos,Food / Dining,
Zomato,Food / Dining,
Swiggy,Food / Dining,
Box8,Food / Dining,
Behrouz Biryani,Food / Dining,
Cafe Mocha,Food / Dining,
Barbeque Nation,Food / Dining,
Goli Vada Pav,Food / Dining,
Cream Stone,Food / Dining,
Anand Sweets & Savories,Food / Dining,
Kailash Parbat,Food / Dining,
Cafe Coffee World,Food / Dining,
Indian Coffee House,Food / Dining,
CCD Square,Food / Dining,
Barbeque Bistro,Food / Dining,
Smaaash Eats,Food / Dining,
Hatti Kaapi,Food / Dining,
Murugan Idli Shop,Food / Dining,
Saravanaa Bhavan Express,Food / Dining,
Arya Bhavan,Food / Dining,
Evergreen Restaurant,Food / Dining,
Biryani Blues,Food / Dining,
Behrouz Express,Food / Dining,
Oh! Biryani,Food / Dining,
PizzaExpress India,Food / Dining,
La Pino'z Pizza,Food / Dining,
Oven Story Pizza,Food / Dining,
Burger Singh,Food / Dining,
Wow! China,Food / Dining,
Mainland China Express,Food / Dining,
Panda Express India,Food / Dining,
Cafe Coffee Day Lounge,Food / Dining,
Gloria Jean’s Coffees India,Food / Dining,
Dunkin’ Donuts India,Food / Dining,
Krispy Kreme India,Food / Dining,
Chai Point,Food / Dining,
Chaayos,Food / Dining,
Tea Trails,Food / Dining,
The Belgian Waffle Co,Food / Dining,
The Chocolate Room,Food / Dining,
Café Coffee Day Insta Brew,Food / Dining,
Eat.fit,Food / Dining,
Freshmenu,Food / Dining,
InnerChef,Food / Dining,
Box8,Food / Dining,
EatStreet,Food / Dining,
Tandoor,Food / Dining,
Kebab Xpress,Food / Dining,
Urban Tadka,Food / Dining,
Theobroma Café,Food / Dining,
Mad Over Donuts,Food / Dining,
Bake Chef,Food / Dining,
Monginis,Food / Dining,
Karachi Bakery,Food / Dining,
Waffle House,Food / Dining,
KFC China,Food / Dining,
McDonald’s China,Food / Dining,
Dicos,Food / Dining,
Haidilao,Food / Dining,
Xiabu Xiabu,Food / Dining,
Yonghe King,Food / Dining,
Luckin Coffee,Food / Dining,
Starbucks China,Food / Dining,
Pizza Hut China,Food / Dining,
Meituan,Food / Dining,
Ele.me,Food / Dining,
Ya Kun Kaya Toast,Food / Dining,
Toast Box,Food / Dining,
Din Tai Fung,Food / Dining,
Jumbo Seafood,Food / Dining,
No Signboard Seafood,Food / Dining,
Song Fa Bak Kut Teh,Food / Dining,
McDonald’s Singapore,Food / Dining,
KFC Singapore,Food / Dining,
Starbucks Singapore,Food / Dining,
GrabFood,Food / Dining,
Deliveroo Singapore,Food / Dining,
OldTown White Coffee,Food / Dining,
Secret Recipe,Food / Dining,
Marrybrown,Food / Dining,
KFC Malaysia,Food / Dining,
McDonald’s Malaysia,Food / Dining,
Starbucks Malaysia,Food / Dining,
Nando’s Malaysia,Food / Dining,
Domino’s Pizza Malaysia,Food / Dining,
Tealive,Food / Dining,
Foodpanda Malaysia,Food / Dining,
GrabFood Malaysia,Food / Dining,
Lotteria,Food / Dining,
BBQ Chicken,Food / Dining,
Kyochon Chicken,Food / Dining,
Paris Baguette,Food / Dining,
Starbucks Korea,Food / Dining,
McDonald’s Korea,Food / Dining,
Ediya Coffee,Food / Dining,
CU / GS25 / 7-Eleven,Food / Dining,
Baedal Minjok (배달의민족),Food / Dining,
Yogerpresso,Food / Dining,
Local Restaurant,Food / Dining,
Street Vendor,Food / Dining,
Canteen / Cafeteria,Food / Dining,
Generic Food Delivery,Food / Dining,
Al Safadi,Food / Dining,
Ravi Restaurant,Food / Dining,
Zaroob,Food / Dining,
Shakespeare and Co.,Food / Dining,
Carluccio’s,Food / Dining,
PF Chang’s,Food / Dining,
McDonald’s UAE,Food / Dining,
KFC UAE,Food / Dining,
Pizza Hut UAE,Food / Dining,
Domino’s Pizza UAE,Food / Dining,
Starbucks UAE,Food / Dining,
Tim Hortons UAE,Food / Dining,
Costa Coffee UAE,Food / Dining,
The Cheesecake Factory UAE,Food / Dining,
Shake Shack UAE,Food / Dining,
Caribou Coffee UAE,Food / Dining,
Gazebo,Food / Dining,
Fatburger UAE,Food / Dining,
Ravioli & Co,Food / Dining,
Deliveroo UAE,Food / Dining,
Talabat,Food / Dining,
Zomato UAE,Food / Dining,
Nando’s (South Africa),Food / Dining,
Steers (South Africa),Food / Dining,
Debonairs Pizza (South Africa),Food / Dining,
Spur Steak Ranches (South Africa),Food / Dining,
Chicken Licken (South Africa),Food / Dining,
Ocean Basket (South Africa),Food / Dining,
Taste of Africa (Kenya),Food / Dining,
Java House (Kenya),Food / Dining,
KFC Africa (pan-region),Food / Dining,
McDonald’s South Africa,Food / Dining,
Mr Bigg’s (Nigeria),Food / Dining,
Tastee Fried Chicken (Nigeria),Food / Dining,
Galito’s (pan-Africa),Food / Dining,
Chicken Republic (Nigeria),Food / Dining,
Debonairs Pizza (Nigeria),Food / Dining,
Mugg & Bean (South Africa),Food / Dining,
Wimpy (South Africa),Food / Dining,
PEP & Deli (Kenya),Food / Dining,
Pizza Inn (South Africa),Food / Dining,
Jumia Food (pan-Africa),Food / Dining,
Uber Eats Africa (pan-Africa),Food / Dining,
McDonald’s Europe,Food / Dining,
KFC Europe,Food / Dining,
Burger King Europe,Food / Dining,
Domino’s Pizza Europe,Food / Dining,
Pizza Hut Europe,Food / Dining,
Starbucks Europe,Food / Dining,
Costa Coffee,Food / Dining,
Pret A Manger,Food / Dining,
Tim Hortons Europe,Food / Dining,
Subway Europe,Food / Dining,
Vapiano,Food / Dining,
Nando’s Europe,Food / Dining,
Greggs,Food / Dining,
Leon,Food / Dining,
Wagamama,Food / Dining,
Five Guys Europe,Food / Dining,
Le Pain Quotidien,Food / Dining,
Paul,Food / Dining,
Spar (food section),Food / Dining,
Deliveroo Europe,Food / Dining,
Uber Eats Europe,Food / Dining,
Uber Eats,Food / Dining,
DoorDash,Food / Dining,
Grubhub,Food / Dining,
Zomato,Food / Dining,
Swiggy,Food / Dining,
Deliveroo,Food / Dining,
Just Eat,Food / Dining,
Foodpanda,Food / Dining,
Glovo,Food / Dining,
Postmates,Food / Dining,
Talabat,Food / Dining,
Rappi,Food / Dining,
Menulog,Food / Dining,
Deliveroo Italia,Food / Dining,
Takeaway.com,Food / Dining,
iFood,Food / Dining,
Meituan,Food / Dining,
Ele.me,Food / Dining,
GrabFood,Food / Dining,
Foodora,Food / Dining,
Bolt Food,Food / Dining,
Line Man,Food / Dining,
Baemin,Food / Dining,
PedidosYa,Food / Dining,
Mr D Food,Food / Dining,
Otlob,Food / Dining,
Zesty,Food / Dining,
Ola,Transport,
Uber,Transport,
inDrive,Transport,
Meru Cabs,Transport,
Carzonrent (EasyCabs),Transport,
Savaari,Transport,
Rapido,Transport,
BluSmart,Transport,
RedBus,Transport,
AbhiBus,Transport,
MakeMyTrip,Transport,
Paytm Bus Booking,Transport,
Travelyaari,Transport,
ClearTrip,Transport,
TicketGoose,Transport,
eTravelSmart,Transport,
VIA,Transport,
Cityflo,Transport,
DTC Bus Routes,Transport,
Chennai-One,Transport,
Goibibo,Transport,
ConfirmTkt,Transport,
Paytm Travel,Transport,
Ola,Transport,
Uber,Transport,
inDrive,Transport,
Meru Cabs,Transport,
Carzonrent (EasyCabs),Transport,
Savaari,Transport,
Rapido,Transport,
BluSmart,Transport,
Jugnoo,Transport,
Volta,Transport,
Yaary,Transport,
Fasttrack Cabs,Transport,
Mega Cabs,Transport,
Tab Cab,Transport,
NTL Taxi,Transport,
My Taxi India,Transport,
Gozo Cabs,Transport,
Spice Cab,Transport,
ZoomCar,Transport,
Zust Go,Transport,
BroomBoom Cabs,Transport,
RedBus,Transport,
AbhiBus,Transport,
MakeMyTrip,Transport,
Paytm Bus Booking,Transport,
Travelyaari,Transport,
ClearTrip,Transport,
TicketGoose,Transport,
eTravelSmart,Transport,
VIA,Transport,
Cityflo,Transport,
DTC Bus Routes,Transport,
Chennai-One,Transport,
CUMTA App,Transport,
Namma Yatri,Transport,
Namma Transit,Transport,
Goibibo,Transport,
ConfirmTkt,Transport,
Paytm Travel,Transport,
Uber,Transport,
Lyft,Transport,
Bolt,Transport,
Cabify,Transport,
FreeNow,Transport,
Via,Transport,
Gett,Transport,
Curb,Transport,
Ola,Transport,
BlaBlaCar,Transport,
Lyft Bikes & Scooters,Transport,
Lime,Transport,
Bird,Transport,
Tier,Transport,
Spin,Transport,
Moovit,Transport,
Citymapper,Transport,
Transit App,Transport,
RedBus EU,Transport,
FlixBus,Transport,
Megabus,Transport,
Amtrak,Transport,
Eurostar,Transport,
SNCF,Transport,
Deutsche Bahn (DB),Transport,
Italo Treno,Transport,
Trainline,Transport,
JetBlue,Transport,
Southwest Airlines,Transport,
Delta Airlines,Transport,
American Airlines,Transport,
United Airlines,Transport,
KLM,Transport,
Air France,Transport,
Ryanair,Transport,
EasyJet,Transport,
Norwegian Air,Transport,
Allegro,Transport,
Tier Mobility,Transport,
Voi,Transport,
Bolt Bikes,Transport,
Didi Chuxing,Transport,
Meituan Ride,Transport,
Ele.me Mobility,Transport,
Caocao,Transport,
Shouqi Limousine & Chauffeur,Transport,
Ctrip,Transport,
12306 China Railway,Transport,
RedBus Malaysia,Transport,
Grab Malaysia,Transport,
Maxim Malaysia,Transport,
Public Transport Malaysia,Transport,
GoKL,Transport,
Grab Singapore,Transport,
ComfortDelGro,Transport,
Gojek Singapore,Transport,
SBS Transit,Transport,
SMRT Connect,Transport,
Kakao T,Transport,
T Map Taxi,Transport,
Naver Map,Transport,
Bada Bus,Transport,
Baemin Ride,Transport,
Uber Korea (Limited),Transport,
Olleh Taxi,Transport,
KTX App,Transport,
Local Taxi Apps,Transport,
State Transport Info,Transport,
Careem UAE,Transport,
Ola UAE,Transport,
Uber UAE,Transport,
RTA Dubai,Transport,
Talabat UAE,Transport,
Deliveroo UAE,Transport,
GoRide Africa,Transport,
Bolt Africa,Transport,
Uber Africa,Transport,
Oga Africa,Transport,
Little Taxi / Yango Africa,Transport,
InDrive Africa,Transport,
Fast Track / Local Taxis Africa,Transport,
Metro Rail Apps Africa,Transport,
MyCiti Bus Cape Town,Transport,
City Bus Johannesburg,Transport,
Minibus Services Kenya,Transport,
Transports State Nigeria,Transport,
BSES Delhi,Utility,
Tata Power,Utility,
Reliance Energy,Utility,
Adani Electricity,Utility,
MSEB / BEST Mumbai,Utility,
BESCOM,Utility,
NDPL,Utility,
Torrent Power,Utility,
JSW Energy,Utility,
Punjab State Power Corporation Ltd (PSPCL),Utility,
Haryana DISCOM,Utility,
Maharashtra State Electricity Distribution Company (MSEDCL),Utility,
Jio,Utility,
Airtel,Utility,
BSNL,Utility,
Vodafone Idea (Vi),Utility,
Tata Sky / Tata Play,Utility,
Dish TV,Utility,
Sun Direct,Utility,
Hathway,Utility,
ACT Fibernet,Utility,
MTNL,Utility,
Indane,Utility,
Bharat Gas,Utility,
HP Gas,Utility,
GAIL,Utility,
WaterBoard Apps,Utility,
Paytm,Utility,
PhonePe,Utility,
Google Pay,Utility,
BHIM UPI,Utility,
Amazon Pay,Utility,
Mobikwik,Utility,
Freecharge,Utility,
PG&E,Utility,
Con Edison,Utility,
Duke Energy,Utility,
Southern California Edison,Utility,
National Grid (US),Utility,
Xcel Energy,Utility,
Comcast Xfinity,Utility,
Verizon,Utility,
AT&T,Utility,
Spectrum (Charter),Utility,
PG&E,Utility,
E.ON,Utility,
EDF (Électricité de France),Utility,
Enel,Utility,
Iberdrola,Utility,
British Gas,Utility,
SSE (UK),Utility,
Vattenfall,Utility,
E.ON Energie (Germany),Utility,
RWE,Utility,
OVO Energy,Utility,
Octopus Energy,Utility,
Engie,Utility,
Veolia,Utility,
Thames Water,Utility,
Suez,Utility,
Paytm (US version),Utility,
Plum (Europe),Utility,
Truebill / Rocket Money (US),Utility,
Bill.com (US),Utility,
Eskom,Utility,
KenGen,Utility,
Umeme,Utility,
Nampower,Utility,
Water & Sewerage Corporation (Kenya),Utility,
Abu Dhabi Distribution Company (ADDC),Utility,
Dubai Electricity & Water Authority (DEWA),Utility,
Etisalat UAE,Utility,
Du UAE,Utility,
Shenzhen Power Supply Bureau,Utility,
State Grid Corporation of China,Utility,
China Southern Power Grid,Utility,
China Mobile,Utility,
China Telecom,Utility,
China Unicom,Utility,
SingTel,Utility,
StarHub,Utility,
M1 Limited,Utility,
Tenaga Nasional,Utility,
Petronas Gas,Utility,
TM (Telekom Malaysia),Utility,
Maxis,Utility,
KT Corporation,Utility,
SK Telecom,Utility,
LG U+,Utility,
KEPCO (Korea Electric Power Corporation),Utility,
K-Water,Utility,
Korea Gas Corporation,Utility,
Korea Telecom (KT),Utility,
MPT (Korea),Utility,
Electricity Authority of North Korea,Utility,
Netflix,Entertainment,
Disney+ Hotstar,Entertainment,
Amazon Prime Video,Entertainment,
SonyLIV,Entertainment,
ZEE5,Entertainment,
BookMyShow,Entertainment,
PlayStation,Entertainment,
Xbox,Entertainment,
Steam,Entertainment,
Spotify,Entertainment,
JioSaavn,Entertainment,
Apollo Hospitals,Medical,
Fortis Healthcare,Medical,
Max Healthcare,Medical,
MedPlus,Medical,
1mg,Medical,
Netmeds,Medical,
PharmEasy,Medical,
Cure.fit,Medical,
Cult.fit,Medical,
Byju,Education,
Udemy,Education,
Coursera,Education,
Unacademy,Education,
Vedantu,Education,
Amazon (Books),Education,
Flipkart (Books),Education,
Local Bookstores,Education,
HDFC Bank,Financial/Investments,
ICICI Bank,Financial/Investments,
SBI,Financial/Investments,
Zerodha,Financial/Investments,
Groww,Financial/Investments,
PolicyBazaar,Financial/Investments,
Kotak Mahindra Bank,Financial/Investments,
Axis Bank,Financial/Investments,
Netflix,Entertainment,
Hulu,Entertainment,
Disney+ ,Entertainment,
Amazon Prime Video,Entertainment,
HBO Max,Entertainment,
Spotify,Entertainment,
Apple Music,Entertainment,
PlayStation,Entertainment,
Xbox,Entertainment,
Steam,Entertainment,
AMC Theatres,Entertainment,
Cineworld,Entertainment,
CVS Health,Medical,
Walgreens,Medical,
Rite Aid,Medical,
Mayo Clinic,Medical,
Cleveland Clinic,Medical,
NHS (UK),Medical,
Boots UK,Medical,
Netmeds Europe,Medical,
Coursera,Education,
Udemy,Education,
Khan Academy,Education,
edX,Education,
Skillshare,Education,
Amazon (Books),Education,
Barnes & Noble,Education,
Hachette,Education,
HDFC Bank US (if applicable),Financial/Investments,
JPMorgan Chase,Financial/Investments,
Bank of America,Financial/Investments,
Goldman Sachs,Financial/Investments,
Citibank,Financial/Investments,
Barclays,Financial/Investments,
HSBC,Financial/Investments,
Deutsche Bank,Financial/Investments,
Zerodha Europe (if applicable),Financial/Investments,
Robinhood,Financial/Investments,
Vanguard,Financial/Investments,
Fidelity,Financial/Investments,
Netflix,Entertainment,
Amazon Prime Video,Entertainment,
Showmax,Entertainment,
Disney+ ,Entertainment,
Spotify,Entertainment,
Apple Music,Entertainment,
PlayStation,Entertainment,
Xbox,Entertainment,
iTunes,Entertainment,
OSN Streaming, Entertainment,
StarzPlay, Entertainment,
Shahid,Entertainment,
Dubai Opera,Entertainment,
Sephora UAE,Medical,
Aster DM Healthcare, Medical,
NMC Health, Medical,
Al Zahra Hospital,Medical,
Mediclinic Africa,Medical,
Netcare Africa,Medical,
Dis-Chem Africa,Medical,
Clicks South Africa,Medical,
Coursera,Education,
Udemy,Education,
Khan Academy,Education,
edX,Education,
Skillshare,Education,
Byju’s UAE,Education,
Amazon Books UAE,Education,
Standard Chartered Bank UAE,Financial/Investments,
Emirates NBD,Financial/Investments,
Mashreq Bank,Financial/Investments,
Absa Bank,Financial/Investments,
Standard Bank,Financial/Investments,
Ecobank Africa,Financial/Investments,
First National Bank Africa,Financial/Investments,
Fidelity Africa,Financial/Investments,
HSBC UAE,Financial/Investments,
ADCB UAE,Financial/Investments,
Netflix,Entertainment,
iQIYI,Entertainment,
Tencent Video,Entertainment,
Youku,Entertainment,
Disney+ ,Entertainment,
Spotify,Entertainment,
QQ Music,Entertainment,
PlayStation,Entertainment,
Xbox,Entertainment,
Garena Free Fire,Entertainment,
Hotstar Singapore,Entertainment,
Viu,Entertainment,
Astro Go,Entertainment,
iFlix Malaysia,Entertainment,
Shahid / StarzPlay UAE branch (Malaysia/SEA),Entertainment,
Raffles Medical Singapore,Medical,
Singapore General Hospital,Medical,
National University Hospital Singapore,Medical,
Tan Tock Seng Hospital,Medical,
KPJ Healthcare Malaysia,Medical,
Pantai Hospital Malaysia,Medical,
Gleneagles Hospital Singapore,Medical,
Samsung Medical Center South Korea,Medical,
Seoul National University Hospital,Medical,
Asan Medical Center South Korea,Medical,
Pyongyang Medical University Hospital,Medical,
Coursera,Education,
edX,Education,
Udemy,Education,
Byju,Education,
Khan Academy (Singapore),Education,
FutureLearn,Education,
Skillshare,Education,
National University of Singapore,Education,
Nanyang Technological University,Education,
Grab Academy (Singapore),Education,
ICBC China,Financial/Investments,
Bank of China,Financial/Investments,
China Construction Bank,Financial/Investments,
HSBC Singapore,Financial/Investments,
DBS Bank Singapore,Financial/Investments,
UOB Singapore,Financial/Investments,
Maybank Malaysia,Financial/Investments,
CIMB Bank Malaysia,Financial/Investments,
Standard Chartered Malaysia,Financial/Investments,
Shinhan Bank South Korea,Financial/Investments,
Kookmin Bank South Korea,Financial/Investments,
Hana Bank South Korea,Financial/Investments,
Foreign Bank in North Korea,Financial/Investments,
BigBasket,Grocery,
Grofers (Blinkit),Grocery,
Amazon Fresh,Grocery,
JioMart,Grocery,
Flipkart Supermart,Grocery,
Instacart,Grocery,
Walmart Grocery,Grocery,
Kroger,Grocery,
Shipt,Grocery,
Ocado,Grocery,
Tesco Grocery,Grocery,
Carrefour,Grocery,
Sainsbury’s,Grocery,
Asda Grocery,Grocery,
Pick n Pay Online,Grocery,
Shoprite Online,Grocery,
Woolworths Online,Grocery,
Waitrose Online,Grocery,
Carrefour UAE,Grocery,
Spinneys UAE,Grocery,
Choithrams UAE,Grocery,
Tmall Grocery,Grocery,
JD.com Grocery,Grocery,
Hema (Freshippo),Grocery,
RedMart,Grocery,
FairPrice Online,Grocery,
Amazon.sg Grocery,Grocery,
HappyFresh,Grocery,
Tesco Online Malaysia,Grocery,
RedMart Malaysia,Grocery,
Market Kurly,Grocery,
Coupang Grocery,Grocery,
Emart Online,Grocery,
Korea Mart Online,Grocery,
Pyongyang Food Delivery,Grocery,
Instamart,Grocery,
Zepto,Grocery,
,,
,,
